#Points:1	velocidad:0	velocidad:1
0.486	-0.1284488	0.0523333
0.487	-0.1272779	0.05242107
0.488	-0.1261091	0.05250873
0.489	-0.1249404	0.05259639
0.49	-0.1237716	0.05268406
0.491	-0.122606	0.05277167
0.492	-0.1214404	0.05285928
0.493	-0.1202749	0.05294689
0.494	-0.1191114	0.05303452
0.495	-0.1179489	0.05312217
0.496	-0.1167864	0.05320982
0.497	-0.115625	0.05329752
0.498	-0.1144655	0.0533853
0.499	-0.1133061	0.05347309
0.5	-0.1121467	0.05356087
0.501	-0.1109902	0.05364886
0.502	-0.1098338	0.05373686
0.503	-0.1086773	0.05382486
0.504	-0.1075227	0.05391305
0.505	-0.1063691	0.05400134
0.506	-0.1052155	0.05408963
0.507	-0.1040627	0.05417804
0.508	-0.1029118	0.05426669
0.509	-0.1017609	0.05435534
0.51	-0.10061	0.05444399
0.511	-0.09946174	0.05453306
0.512	-0.09831337	0.05462214
0.513	-0.09716507	0.05471121
0.514	-0.0960184	0.05480061
0.515	-0.09487254	0.05489016
0.516	-0.09372669	0.05497972
0.517	-0.09258153	0.05506946
0.518	-0.09143796	0.05515954
0.519	-0.0902944	0.05524963
0.52	-0.08915083	0.05533972
0.521	-0.08800933	0.05543039
0.522	-0.0868679	0.05552105
0.523	-0.08572646	0.05561172
0.524	-0.08458634	0.05570279
0.525	-0.08344687	0.05579407
0.526	-0.08230733	0.05588535
0.527	-0.08116846	0.05597685
0.528	-0.08003078	0.05606877
0.529	-0.0788931	0.05616069
0.53	-0.07775542	0.05625262
0.531	-0.07661929	0.05634522
0.532	-0.07548323	0.05643782
0.533	-0.07434716	0.05653041
0.534	-0.07321206	0.05662347
0.535	-0.07207736	0.05671677
0.536	-0.07094273	0.05681006
0.537	-0.06980853	0.05690358
0.538	-0.06867515	0.05699758
0.539	-0.06754178	0.05709157
0.54	-0.06640834	0.05718558
0.541	-0.06527605	0.05728029
0.542	-0.06414375	0.057375
0.543	-0.06301145	0.05746971
0.544	-0.06187968	0.05756491
0.545	-0.06074828	0.05766034
0.546	-0.05961688	0.05775577
